epoch,step,loss,lr,elapsed
139,156375,0.001322,4.249947e-05,25740.0
140,157500,0.001392,4.122147e-05,25925.1
141,158625,0.001441,3.995798e-05,26112.2
142,159750,0.001373,3.870929e-05,26297.2
143,160875,0.001401,3.747573e-05,26482.2
144,162000,0.001329,3.625760e-05,26667.3
145,163125,0.001448,3.505520e-05,26852.3
146,164250,0.001263,3.386881e-05,27037.2
147,165375,0.001323,3.269875e-05,27222.1
148,166500,0.001357,3.154529e-05,27407.1
149,167625,0.001304,3.040872e-05,27592.0
150,168750,0.001297,2.928932e-05,27776.9
151,169875,0.001275,2.818737e-05,27963.9
152,171000,0.001382,2.710314e-05,28148.9
153,172125,0.001360,2.603689e-05,28333.8
154,173250,0.001290,2.498889e-05,28518.7
155,174375,0.001360,2.395940e-05,28703.7
156,175500,0.001305,2.294868e-05,28888.6
157,176625,0.001394,2.195696e-05,29073.5
158,177750,0.001338,2.098450e-05,29258.4
159,178875,0.001315,2.003153e-05,29443.3
160,180000,0.001359,1.909830e-05,29628.2
161,181125,0.001341,1.818503e-05,29815.3
162,182250,0.001323,1.729194e-05,30000.2
163,183375,0.001248,1.641926e-05,30185.2
164,184500,0.001236,1.556721e-05,30370.1
165,185625,0.001292,1.473598e-05,30555.0
166,186750,0.001306,1.392580e-05,30740.0
167,187875,0.001314,1.313685e-05,30924.9
168,189000,0.001375,1.236933e-05,31109.9
169,190125,0.001351,1.162344e-05,31294.8
170,191250,0.001290,1.089935e-05,31479.7
171,192375,0.001330,1.019724e-05,31666.7
172,193500,0.001254,9.517295e-06,31851.7
173,194625,0.001333,8.859672e-06,32036.6
174,195750,0.001319,8.224537e-06,32221.5
175,196875,0.001251,7.612047e-06,32406.5
176,198000,0.001204,7.022351e-06,32591.4
177,199125,0.001149,6.455597e-06,32776.3
178,200250,0.001258,5.911923e-06,32961.3
179,201375,0.001358,5.391464e-06,33146.2
180,202500,0.001295,4.894348e-06,33331.1
181,203625,0.001262,4.420699e-06,33518.2
182,204750,0.001240,3.970631e-06,33703.0
183,205875,0.001260,3.544258e-06,33888.0
184,207000,0.001316,3.141684e-06,34073.1
185,208125,0.001226,2.763008e-06,34258.1
186,209250,0.001209,2.408324e-06,34443.1
187,210375,0.001315,2.077719e-06,34628.1
188,211500,0.001267,1.771275e-06,34813.0
189,212625,0.001279,1.489067e-06,34998.0
190,213750,0.001294,1.231166e-06,35183.0
191,214875,0.001210,9.976342e-07,35370.0
192,216000,0.001233,7.885299e-07,35555.2
193,217125,0.001269,6.039045e-07,35740.1
194,218250,0.001254,4.438035e-07,35925.1
195,219375,0.001203,3.082666e-07,36110.1
196,220500,0.001311,1.973272e-07,36295.0
197,221625,0.001256,1.110125e-07,36480.0
198,222750,0.001276,4.934396e-08,36664.9
199,223875,0.001194,1.233675e-08,36849.9
200,225000,0.001225,0.000000e+00,37034.9
